"","sexo","region","edad","yoprcor","s31c1","zona","e6a","o15","yoprcoripc"
"470",1,7,24,250000,7,1,14,5,345255.00781361
"471",1,7,54,320000,7,1,11,5,441926.410001421
"472",2,7,39,1e+06,7,1,15,5,1381020.03125444
"473",1,7,35,350000,7,1,9,5,483357.010939054
"474",1,7,36,331682.693154403,7,1,11,2,458060.44326665
"475",1,7,67,360000,7,1,8,5,497167.211251598
"476",2,7,42,760000,7,1,16,3,1049575.22375337
"477",1,7,29,8e+05,7,1,15,5,1104816.02500355
"478",2,7,41,331682.693154403,7,1,11,2,458060.44326665
"479",2,7,48,140000,7,1,9,7,193342.804375622
"480",1,7,43,230000,7,1,9,2,317634.607188521
"481",2,7,41,230000,7,1,9,2,317634.607188521
"482",2,7,27,280000,7,1,15,3,386685.608751243
"483",1,7,41,450000,7,1,11,3,621459.014064498
"484",2,7,46,480000,7,1,11,3,662889.615002131
"485",1,7,27,250000,7,1,15,2,345255.00781361
"486",1,7,84,80000,1,1,8,2,110481.602500355
"487",1,7,55,2e+05,7,1,7,2,276204.006250888
"488",1,7,22,331682.693154403,7,1,15,5,458060.44326665
"489",1,7,54,203000,7,1,15,3,280347.066344651
"490",2,7,43,1e+05,7,1,12,2,138102.003125444
