"","sexo","region","edad","yoprcor","s31a1","zona","e6a","o15","yoprcoripc"
"309",1,7,61,50000,7,1,7,2,65744.6232923035
"310",1,7,59,463213,6,1,9,2,609075.283781956
"311",2,7,55,7e+05,7,1,11,2,920424.726092249
"312",1,7,28,485797,7,1,14,5,638770.815230623
"313",1,7,52,1e+06,7,1,11,4,1314892.46584607
"314",2,7,46,1725000,7,1,11,5,2268189.50358447
"315",1,7,31,550000,7,1,15,3,723190.856215339
"316",1,7,47,490000,7,1,13,5,644297.308264575
"317",1,7,23,2e+05,7,1,12,2,262978.493169214
"318",1,7,27,477916,7,1,15,5,628408.147707291
"319",2,7,26,1e+06,7,1,15,4,1314892.46584607
"320",1,7,44,950000,7,1,11,5,1249147.84255377
"321",2,7,44,180000,7,1,11,2,236680.643852293
"322",2,7,53,9e+05,7,1,15,3,1183403.21926146
"323",1,7,27,250000,7,1,15,5,328723.116461518
"324",1,7,28,7e+05,7,1,15,4,920424.726092249
"325",2,7,28,550000,7,1,15,4,723190.856215339
"326",1,7,54,8e+05,7,1,7,2,1051913.97267686
"327",2,7,48,6e+05,7,1,9,4,788935.479507642
"328",2,7,27,250000,7,1,11,4,328723.116461518
"329",1,7,48,250000,7,1,9,2,328723.116461518
"330",1,7,39,540000,7,1,7,4,710041.931556878
"331",2,7,31,460000,7,1,15,4,604850.534289192
"332",1,7,29,492209,7,1,13,5,647201.905721628
"333",1,7,32,294894,7,1,14,5,387753.898823211
"334",2,7,49,450000,7,1,13,4,591701.609630732
"335",1,7,27,1700000,7,1,15,5,2235317.19193832
"336",1,7,33,1400000,7,1,14,5,1840849.4521845
"337",1,7,56,7e+05,7,1,11,2,920424.726092249
"338",2,7,27,90000,7,1,15,5,118340.321926146
"339",1,7,35,7e+05,7,1,13,4,920424.726092249
"340",2,7,28,4e+05,7,1,13,4,525956.986338428
"341",1,7,21,4e+05,7,1,9,4,525956.986338428
"342",2,7,65,330000,7,1,11,5,433914.513729203
"343",1,7,67,450000,7,1,7,5,591701.609630732
"344",2,7,56,250000,7,1,7,7,328723.116461518
"345",1,7,38,940000,7,1,15,4,1235998.91789531
"346",2,7,60,3e+05,7,1,9,5,394467.739753821
"347",1,7,26,140000,7,1,14,5,184084.94521845
"348",2,7,54,1e+06,2,1,15,5,1314892.46584607
"349",1,7,34,7e+05,7,1,15,4,920424.726092249
"350",1,7,53,4e+05,7,1,9,5,525956.986338428
"351",2,7,36,2e+05,7,1,9,2,262978.493169214
"352",1,7,46,5e+05,7,1,13,2,657446.232923035
"353",1,7,59,270000,7,1,7,5,355020.965778439
